#    L    TT             EE             BB             TE          
   365   0.172143E+04   0.206946E+02   0.273726E-01  -0.289198E+02
   366   0.172372E+04   0.205948E+02   0.274764E-01  -0.307425E+02
   367   0.172646E+04   0.204904E+02   0.275809E-01  -0.325390E+02
   368   0.172964E+04   0.203816E+02   0.276862E-01  -0.343084E+02
   369   0.173325E+04   0.202686E+02   0.277924E-01  -0.360501E+02
   370   0.173729E+04   0.201512E+02   0.278993E-01  -0.377634E+02
   371   0.174174E+04   0.200298E+02   0.280070E-01  -0.394474E+02
   372   0.174660E+04   0.199042E+02   0.281155E-01  -0.411017E+02
   373   0.175185E+04   0.197747E+02   0.282248E-01  -0.427253E+02
   374   0.175749E+04   0.196413E+02   0.283348E-01  -0.443176E+02
   375   0.176351E+04   0.195042E+02   0.284457E-01  -0.458780E+02
   376   0.176988E+04   0.193634E+02   0.285573E-01  -0.474057E+02
   377   0.177662E+04   0.192190E+02   0.286697E-01  -0.489000E+02
   378   0.178370E+04   0.190711E+02   0.287829E-01  -0.503602E+02
   379   0.179111E+04   0.189198E+02   0.288969E-01  -0.517857E+02
   380   0.179886E+04   0.187651E+02   0.290116E-01  -0.531756E+02
   381   0.180692E+04   0.186072E+02   0.291271E-01  -0.545294E+02
   382   0.181528E+04   0.184461E+02   0.292434E-01  -0.558464E+02
   383   0.182394E+04   0.182820E+02   0.293604E-01  -0.571257E+02
   384   0.183288E+04   0.181151E+02   0.294781E-01  -0.583665E+02
   385   0.184209E+04   0.179453E+02   0.295966E-01  -0.595681E+02
   386   0.185156E+04   0.177730E+02   0.297158E-01  -0.607296E+02
   387   0.186129E+04   0.175981E+02   0.298357E-01  -0.618503E+02
   388   0.187123E+04   0.174209E+02   0.299564E-01  -0.629294E+02
   389   0.188141E+04   0.172415E+02   0.300777E-01  -0.639661E+02
   390   0.189179E+04   0.170600E+02   0.301998E-01  -0.649597E+02
   391   0.190238E+04   0.168764E+02   0.303225E-01  -0.659093E+02
   392   0.191314E+04   0.166910E+02   0.304459E-01  -0.668142E+02
   393   0.192408E+04   0.165038E+02   0.305700E-01  -0.676738E+02
