#    L    TT             EE             TE             PP             TP          
   136   0.455154E+04   0.106414E+01  -0.460717E+02   0.259032E+07  -0.345695E+04
   137   0.458784E+04   0.105585E+01  -0.459630E+02   0.257410E+07  -0.340336E+04
   138   0.462383E+04   0.104709E+01  -0.458213E+02   0.255802E+07  -0.335078E+04
   139   0.465948E+04   0.103787E+01  -0.456463E+02   0.254208E+07  -0.329917E+04
   140   0.469482E+04   0.102822E+01  -0.454375E+02   0.252629E+07  -0.324852E+04
   141   0.472979E+04   0.101818E+01  -0.451949E+02   0.251063E+07  -0.319883E+04
   142   0.476440E+04   0.100775E+01  -0.449179E+02   0.249511E+07  -0.315007E+04
   143   0.479863E+04   0.996963E+00  -0.446064E+02   0.247974E+07  -0.310222E+04
   144   0.483245E+04   0.985852E+00  -0.442600E+02   0.246449E+07  -0.305529E+04
   145   0.486586E+04   0.974434E+00  -0.438784E+02   0.244939E+07  -0.300924E+04
   146   0.489882E+04   0.962745E+00  -0.434615E+02   0.243441E+07  -0.296406E+04
   147   0.493133E+04   0.950818E+00  -0.430088E+02   0.241957E+07  -0.291974E+04
   148   0.496335E+04   0.938676E+00  -0.425201E+02   0.240486E+07  -0.287627E+04
   149   0.499486E+04   0.926350E+00  -0.419951E+02   0.239028E+07  -0.283362E+04
   150   0.502585E+04   0.913871E+00  -0.414335E+02   0.237583E+07  -0.279179E+04
   151   0.505628E+04   0.901270E+00  -0.408351E+02   0.236151E+07  -0.275076E+04
   152   0.508617E+04   0.888583E+00  -0.402001E+02   0.234732E+07  -0.271051E+04
   153   0.511550E+04   0.875851E+00  -0.395285E+02   0.233325E+07  -0.267103E+04
   154   0.514426E+04   0.863118E+00  -0.388207E+02   0.231930E+07  -0.263232E+04
   155   0.517245E+04   0.850412E+00  -0.380767E+02   0.230548E+07  -0.259436E+04
   156   0.520008E+04   0.837781E+00  -0.372968E+02   0.229178E+07  -0.255714E+04
   157   0.522712E+04   0.825256E+00  -0.364811E+02   0.227821E+07  -0.252065E+04
   158   0.525359E+04   0.812892E+00  -0.356298E+02   0.226475E+07  -0.248488E+04
   159   0.527946E+04   0.800718E+00  -0.347432E+02   0.225142E+07  -0.244981E+04
   160   0.530473E+04   0.788783E+00  -0.338215E+02   0.223820E+07  -0.241543E+04
   161   0.532938E+04   0.777131E+00  -0.328649E+02   0.222511E+07  -0.238173E+04
   162   0.535339E+04   0.765805E+00  -0.318737E+02   0.221212E+07  -0.234870E+04
   163   0.537677E+04   0.754861E+00  -0.308480E+02   0.219926E+07  -0.231633E+04
   164   0.539948E+04   0.744328E+00  -0.297882E+02   0.218651E+07  -0.228461E+04
   165   0.542154E+04   0.734255E+00  -0.286944E+02   0.217387E+07  -0.225352E+04
   166   0.544291E+04   0.724693E+00  -0.275670E+02   0.216135E+07  -0.222306E+04
   167   0.546361E+04   0.715692E+00  -0.264063E+02   0.214894E+07  -0.219320E+04
   168   0.548361E+04   0.707302E+00  -0.252128E+02   0.213664E+07  -0.216395E+04
   169   0.550291E+04   0.699573E+00  -0.239868E+02   0.212445E+07  -0.213528E+04
   170   0.552150E+04   0.692548E+00  -0.227286E+02   0.211237E+07  -0.210719E+04
   171   0.553937E+04   0.686285E+00  -0.214386E+02   0.210039E+07  -0.207967E+04
   172   0.555653E+04   0.680833E+00  -0.201172E+02   0.208852E+07  -0.205270E+04
   173   0.557294E+04   0.676242E+00  -0.187648E+02   0.207676E+07  -0.202627E+04
   174   0.558861E+04   0.672563E+00  -0.173818E+02   0.206511E+07  -0.200036E+04
   175   0.560354E+04   0.669861E+00  -0.159688E+02   0.205356E+07  -0.197498E+04
   176   0.561771E+04   0.668179E+00  -0.145262E+02   0.204211E+07  -0.195010E+04
   177   0.563111E+04   0.667583E+00  -0.130546E+02   0.203076E+07  -0.192573E+04
   178   0.564373E+04   0.668127E+00  -0.115549E+02   0.201952E+07  -0.190184E+04
   179   0.565559E+04   0.669863E+00  -0.100277E+02   0.200837E+07  -0.187844E+04
   180   0.566667E+04   0.672857E+00  -0.847387E+01   0.199732E+07  -0.185551E+04
   181   0.567697E+04   0.677171E+00  -0.689430E+01   0.198637E+07  -0.183305E+04
   182   0.568648E+04   0.682864E+00  -0.528976E+01   0.197552E+07  -0.181106E+04
   183   0.569521E+04   0.689988E+00  -0.366109E+01   0.196476E+07  -0.178951E+04
   184   0.570314E+04   0.698612E+00  -0.200923E+01   0.195410E+07  -0.176841E+04
   185   0.571028E+04   0.708801E+00  -0.334815E+00   0.194353E+07  -0.174775E+04
   186   0.571662E+04   0.720610E+00   0.136109E+01   0.193305E+07  -0.172752E+04
   187   0.572216E+04   0.734098E+00   0.307770E+01   0.192266E+07  -0.170772E+04
   188   0.572689E+04   0.749336E+00   0.481400E+01   0.191236E+07  -0.168832E+04
   189   0.573082E+04   0.766385E+00   0.656916E+01   0.190215E+07  -0.166934E+04
   190   0.573393E+04   0.785310E+00   0.834216E+01   0.189203E+07  -0.165076E+04
   191   0.573623E+04   0.806173E+00   0.101320E+02   0.188200E+07  -0.163256E+04
   192   0.573771E+04   0.829039E+00   0.119379E+02   0.187205E+07  -0.161476E+04
   193   0.573836E+04   0.853971E+00   0.137589E+02   0.186219E+07  -0.159733E+04
   194   0.573819E+04   0.881037E+00   0.155937E+02   0.185241E+07  -0.158027E+04
   195   0.573720E+04   0.910300E+00   0.174416E+02   0.184271E+07  -0.156357E+04
   196   0.573538E+04   0.941829E+00   0.193013E+02   0.183310E+07  -0.154722E+04
   197   0.573275E+04   0.975688E+00   0.211718E+02   0.182356E+07  -0.153123E+04
   198   0.572930E+04   0.101195E+01   0.230520E+02   0.181410E+07  -0.151557E+04
   199   0.572502E+04   0.105067E+01   0.249410E+02   0.180472E+07  -0.150024E+04
   200   0.571992E+04   0.109192E+01   0.268375E+02   0.179542E+07  -0.148524E+04
   201   0.571400E+04   0.113576E+01   0.287407E+02   0.178620E+07  -0.147055E+04
   202   0.570726E+04   0.118220E+01   0.306494E+02   0.177705E+07  -0.145618E+04
   203   0.569968E+04   0.123125E+01   0.325631E+02   0.176797E+07  -0.144211E+04
   204   0.569129E+04   0.128292E+01   0.344808E+02   0.175897E+07  -0.142835E+04
   205   0.568205E+04   0.133722E+01   0.364017E+02   0.175004E+07  -0.141488E+04
   206   0.567200E+04   0.139415E+01   0.383250E+02   0.174119E+07  -0.140170E+04
   207   0.566112E+04   0.145373E+01   0.402500E+02   0.173240E+07  -0.138881E+04
   208   0.564942E+04   0.151595E+01   0.421755E+02   0.172369E+07  -0.137620E+04
   209   0.563693E+04   0.158083E+01   0.441007E+02   0.171505E+07  -0.136386E+04
   210   0.562366E+04   0.164837E+01   0.460245E+02   0.170648E+07  -0.135180E+04
   211   0.560961E+04   0.171858E+01   0.479462E+02   0.169797E+07  -0.134000E+04
   212   0.559482E+04   0.179146E+01   0.498646E+02   0.168954E+07  -0.132847E+04
   213   0.557929E+04   0.186704E+01   0.517788E+02   0.168117E+07  -0.131719E+04
   214   0.556304E+04   0.194530E+01   0.536878E+02   0.167288E+07  -0.130616E+04
   215   0.554609E+04   0.202626E+01   0.555907E+02   0.166464E+07  -0.129538E+04
   216   0.552842E+04   0.210993E+01   0.574865E+02   0.165648E+07  -0.128484E+04
   217   0.551004E+04   0.219631E+01   0.593741E+02   0.164838E+07  -0.127454E+04
   218   0.549097E+04   0.228540E+01   0.612525E+02   0.164034E+07  -0.126447E+04
   219   0.547121E+04   0.237721E+01   0.631209E+02   0.163237E+07  -0.125463E+04
   220   0.545076E+04   0.247175E+01   0.649781E+02   0.162446E+07  -0.124500E+04
   221   0.542963E+04   0.256902E+01   0.668230E+02   0.161662E+07  -0.123559E+04
   222   0.540783E+04   0.266903E+01   0.686549E+02   0.160883E+07  -0.122640E+04
   223   0.538537E+04   0.277177E+01   0.704724E+02   0.160111E+07  -0.121741E+04
   224   0.536227E+04   0.287725E+01   0.722746E+02   0.159345E+07  -0.120862E+04
   225   0.533853E+04   0.298547E+01   0.740604E+02   0.158585E+07  -0.120003E+04
   226   0.531416E+04   0.309644E+01   0.758288E+02   0.157830E+07  -0.119163E+04
   227   0.528918E+04   0.321016E+01   0.775786E+02   0.157082E+07  -0.118342E+04
   228   0.526360E+04   0.332663E+01   0.793087E+02   0.156339E+07  -0.117539E+04
   229   0.523743E+04   0.344584E+01   0.810181E+02   0.155603E+07  -0.116753E+04
   230   0.521068E+04   0.356781E+01   0.827058E+02   0.154871E+07  -0.115985E+04
   231   0.518336E+04   0.369252E+01   0.843705E+02   0.154146E+07  -0.115233E+04
   232   0.515549E+04   0.381997E+01   0.860112E+02   0.153426E+07  -0.114497E+04
   233   0.512707E+04   0.395016E+01   0.876267E+02   0.152711E+07  -0.113777E+04
   234   0.509812E+04   0.408310E+01   0.892159E+02   0.152002E+07  -0.113072E+04
   235   0.506866E+04   0.421877E+01   0.907778E+02   0.151298E+07  -0.112382E+04
   236   0.503868E+04   0.435718E+01   0.923111E+02   0.150600E+07  -0.111706E+04
   237   0.500821E+04   0.449831E+01   0.938148E+02   0.149906E+07  -0.111044E+04
   238   0.497727E+04   0.464216E+01   0.952877E+02   0.149218E+07  -0.110394E+04
   239   0.494585E+04   0.478871E+01   0.967286E+02   0.148535E+07  -0.109758E+04
   240   0.491399E+04   0.493797E+01   0.981364E+02   0.147857E+07  -0.109133E+04
   241   0.488167E+04   0.508993E+01   0.995100E+02   0.147184E+07  -0.108520E+04
   242   0.484894E+04   0.524457E+01   0.100848E+03   0.146515E+07  -0.107919E+04
   243   0.481580E+04   0.540189E+01   0.102150E+03   0.145852E+07  -0.107328E+04
   244   0.478225E+04   0.556186E+01   0.103414E+03   0.145193E+07  -0.106747E+04
   245   0.474833E+04   0.572449E+01   0.104639E+03   0.144539E+07  -0.106175E+04
   246   0.471405E+04   0.588975E+01   0.105824E+03   0.143889E+07  -0.105613E+04
   247   0.467942E+04   0.605763E+01   0.106968E+03   0.143245E+07  -0.105060E+04
   248   0.464446E+04   0.622812E+01   0.108070E+03   0.142604E+07  -0.104514E+04
   249   0.460918E+04   0.640119E+01   0.109129E+03   0.141968E+07  -0.103977E+04
   250   0.457360E+04   0.657684E+01   0.110143E+03   0.141336E+07  -0.103446E+04
   251   0.453773E+04   0.675502E+01   0.111111E+03   0.140709E+07  -0.102922E+04
   252   0.450157E+04   0.693567E+01   0.112034E+03   0.140086E+07  -0.102405E+04
