#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.215393E-01   0.102322E+08   0.101992E+08  -0.129264E+04  -0.136440E+04   0.506055E+07   0.102037E+08   0.102270E+08   0.102037E+08  -0.243756E+00   0.625612E+07   0.625531E+07   0.125234E+02
   0.238037E-01   0.956951E+07   0.953272E+07  -0.938973E+03  -0.104485E+04   0.444683E+07   0.954067E+07   0.956373E+07   0.954067E+07  -0.227917E+00   0.584997E+07   0.584914E+07   0.116227E+02
   0.263062E-01   0.888723E+07   0.884687E+07  -0.668104E+03  -0.794556E+03   0.386153E+07   0.885827E+07   0.888089E+07   0.885826E+07  -0.211615E+00   0.543191E+07   0.543106E+07   0.107102E+02
   0.290718E-01   0.819512E+07   0.815173E+07  -0.554416E+03  -0.599935E+03   0.331437E+07   0.816633E+07   0.818830E+07   0.816633E+07  -0.195085E+00   0.500795E+07   0.500710E+07   0.975851E+01
   0.321281E-01   0.750642E+07   0.746096E+07  -0.360353E+03  -0.449959E+03   0.281276E+07   0.747815E+07   0.749927E+07   0.747815E+07  -0.178645E+00   0.458624E+07   0.458540E+07   0.874145E+01
   0.355058E-01   0.683759E+07   0.679145E+07  -0.298153E+03  -0.335614E+03   0.236260E+07   0.681020E+07   0.683034E+07   0.681020E+07  -0.162689E+00   0.417688E+07   0.417606E+07   0.764567E+01
   0.392385E-01   0.620710E+07   0.616210E+07  -0.187710E+03  -0.249479E+03   0.196805E+07   0.618096E+07   0.620003E+07   0.618096E+07  -0.147657E+00   0.379120E+07   0.379043E+07   0.647617E+01
   0.433637E-01   0.563277E+07   0.559100E+07  -0.174432E+03  -0.185394E+03   0.163062E+07   0.560820E+07   0.562621E+07   0.560820E+07  -0.133974E+00   0.344011E+07   0.343942E+07   0.526245E+01
   0.477001E-01   0.514786E+07   0.511108E+07  -0.138814E+03  -0.140054E+03   0.135992E+07   0.512504E+07   0.514208E+07   0.512504E+07  -0.122432E+00   0.314391E+07   0.314332E+07   0.411674E+01
   0.520365E-01   0.476590E+07   0.473492E+07  -0.108011E+03  -0.108976E+03   0.115334E+07   0.474478E+07   0.476104E+07   0.474478E+07  -0.113348E+00   0.291079E+07   0.291030E+07   0.314296E+01
   0.563728E-01   0.445532E+07   0.443012E+07  -0.860561E+02  -0.868246E+02   0.991135E+06   0.443576E+07   0.445136E+07   0.443576E+07  -0.105966E+00   0.272133E+07   0.272093E+07   0.236374E+01
   0.607092E-01   0.419190E+07   0.417176E+07  -0.698302E+02  -0.704538E+02   0.859978E+06   0.417373E+07   0.418874E+07   0.417373E+07  -0.997061E-01   0.256068E+07   0.256036E+07   0.178335E+01
   0.650456E-01   0.395762E+07   0.394132E+07  -0.574413E+02  -0.579542E+02   0.750922E+06   0.394062E+07   0.395506E+07   0.394062E+07  -0.941372E-01   0.241774E+07   0.241747E+07   0.138826E+01
   0.693820E-01   0.373758E+07   0.372370E+07  -0.476855E+02  -0.481113E+02   0.657656E+06   0.372152E+07   0.373540E+07   0.372152E+07  -0.889033E-01   0.228340E+07   0.228316E+07   0.114994E+01
   0.737183E-01   0.352076E+07   0.350792E+07  -0.397937E+02  -0.401489E+02   0.575931E+06   0.350548E+07   0.351874E+07   0.350548E+07  -0.837422E-01   0.215090E+07   0.215068E+07   0.103068E+01
   0.780547E-01   0.330374E+07   0.329079E+07  -0.333083E+02  -0.336056E+02   0.503584E+06   0.328909E+07   0.330170E+07   0.328909E+07  -0.785729E-01   0.201819E+07   0.201796E+07   0.990053E+00
   0.823911E-01   0.308930E+07   0.307549E+07  -0.279537E+02  -0.282032E+02   0.439751E+06   0.307520E+07   0.308713E+07   0.307520E+07  -0.734632E-01   0.188700E+07   0.188675E+07   0.990145E+00
   0.867275E-01   0.288335E+07   0.286839E+07  -0.235455E+02  -0.237556E+02   0.384081E+06   0.286974E+07   0.288100E+07   0.286974E+07  -0.685551E-01   0.176097E+07   0.176071E+07   0.999545E+00
