#    L    TT             EE             BB             TE             PP             TP             EP          
   177   0.563111E+04   0.667583E+00   0.000000E+00  -0.130546E+02   0.440028E-07  -0.113407E-03  -0.533260E-06
   178   0.564373E+04   0.668127E+00   0.000000E+00  -0.115549E+02   0.437563E-07  -0.111995E-03  -0.511632E-06
   179   0.565559E+04   0.669863E+00   0.000000E+00  -0.100277E+02   0.435121E-07  -0.110611E-03  -0.489810E-06
   180   0.566667E+04   0.672857E+00   0.000000E+00  -0.847387E+01   0.432701E-07  -0.109256E-03  -0.467812E-06
   181   0.567697E+04   0.677171E+00   0.000000E+00  -0.689430E+01   0.430302E-07  -0.107929E-03  -0.445659E-06
   182   0.568648E+04   0.682864E+00   0.000000E+00  -0.528976E+01   0.427925E-07  -0.106629E-03  -0.423368E-06
   183   0.569521E+04   0.689988E+00   0.000000E+00  -0.366109E+01   0.425570E-07  -0.105356E-03  -0.400959E-06
   184   0.570314E+04   0.698612E+00   0.000000E+00  -0.200923E+01   0.423235E-07  -0.104109E-03  -0.378450E-06
   185   0.571028E+04   0.708801E+00   0.000000E+00  -0.334815E+00   0.420921E-07  -0.102888E-03  -0.355859E-06
   186   0.571662E+04   0.720610E+00   0.000000E+00   0.136109E+01   0.418627E-07  -0.101693E-03  -0.333206E-06
   187   0.572216E+04   0.734098E+00   0.000000E+00   0.307770E+01   0.416354E-07  -0.100523E-03  -0.310510E-06
   188   0.572689E+04   0.749336E+00   0.000000E+00   0.481400E+01   0.414101E-07  -0.993770E-04  -0.287788E-06
   189   0.573082E+04   0.766385E+00   0.000000E+00   0.656916E+01   0.411867E-07  -0.982554E-04  -0.265061E-06
   190   0.573393E+04   0.785310E+00   0.000000E+00   0.834216E+01   0.409653E-07  -0.971575E-04  -0.242345E-06
   191   0.573623E+04   0.806173E+00   0.000000E+00   0.101320E+02   0.407458E-07  -0.960828E-04  -0.219661E-06
   192   0.573771E+04   0.829039E+00   0.000000E+00   0.119379E+02   0.405283E-07  -0.950310E-04  -0.197027E-06
   193   0.573836E+04   0.853971E+00   0.000000E+00   0.137589E+02   0.403125E-07  -0.940014E-04  -0.174462E-06
   194   0.573819E+04   0.881037E+00   0.000000E+00   0.155937E+02   0.400987E-07  -0.929937E-04  -0.151984E-06
   195   0.573720E+04   0.910300E+00   0.000000E+00   0.174416E+02   0.398867E-07  -0.920074E-04  -0.129612E-06
   196   0.573538E+04   0.941829E+00   0.000000E+00   0.193013E+02   0.396765E-07  -0.910421E-04  -0.107365E-06
   197   0.573275E+04   0.975688E+00   0.000000E+00   0.211718E+02   0.394680E-07  -0.900973E-04  -0.852614E-07
   198   0.572930E+04   0.101195E+01   0.000000E+00   0.230520E+02   0.392614E-07  -0.891726E-04  -0.633202E-07
   199   0.572502E+04   0.105067E+01   0.000000E+00   0.249410E+02   0.390564E-07  -0.882675E-04  -0.415600E-07
   200   0.571992E+04   0.109192E+01   0.000000E+00   0.268375E+02   0.388532E-07  -0.873815E-04  -0.199995E-07
   201   0.571400E+04   0.113576E+01   0.000000E+00   0.287407E+02   0.386516E-07  -0.865143E-04   0.134618E-08
   202   0.570726E+04   0.118220E+01   0.000000E+00   0.306494E+02   0.384518E-07  -0.856655E-04   0.224763E-07
   203   0.569968E+04   0.123125E+01   0.000000E+00   0.325631E+02   0.382535E-07  -0.848349E-04   0.433937E-07
   204   0.569129E+04   0.128292E+01   0.000000E+00   0.344808E+02   0.380569E-07  -0.840220E-04   0.641013E-07
   205   0.568205E+04   0.133722E+01   0.000000E+00   0.364017E+02   0.378619E-07  -0.832267E-04   0.846019E-07
   206   0.567200E+04   0.139415E+01   0.000000E+00   0.383250E+02   0.376686E-07  -0.824486E-04   0.104898E-06
   207   0.566112E+04   0.145373E+01   0.000000E+00   0.402500E+02   0.374768E-07  -0.816874E-04   0.124994E-06
   208   0.564942E+04   0.151595E+01   0.000000E+00   0.421755E+02   0.372866E-07  -0.809429E-04   0.144890E-06
   209   0.563693E+04   0.158083E+01   0.000000E+00   0.441007E+02   0.370980E-07  -0.802147E-04   0.164591E-06
   210   0.562366E+04   0.164837E+01   0.000000E+00   0.460245E+02   0.369109E-07  -0.795025E-04   0.184100E-06
   211   0.560961E+04   0.171858E+01   0.000000E+00   0.479462E+02   0.367253E-07  -0.788061E-04   0.203418E-06
   212   0.559482E+04   0.179146E+01   0.000000E+00   0.498646E+02   0.365413E-07  -0.781251E-04   0.222549E-06
   213   0.557929E+04   0.186704E+01   0.000000E+00   0.517788E+02   0.363587E-07  -0.774593E-04   0.241497E-06
   214   0.556304E+04   0.194530E+01   0.000000E+00   0.536878E+02   0.361777E-07  -0.768083E-04   0.260262E-06
   215   0.554609E+04   0.202626E+01   0.000000E+00   0.555907E+02   0.359981E-07  -0.761719E-04   0.278850E-06
   216   0.552842E+04   0.210993E+01   0.000000E+00   0.574865E+02   0.358200E-07  -0.755498E-04   0.297261E-06
   217   0.551004E+04   0.219631E+01   0.000000E+00   0.593741E+02   0.356433E-07  -0.749416E-04   0.315500E-06
   218   0.549097E+04   0.228540E+01   0.000000E+00   0.612525E+02   0.354681E-07  -0.743471E-04   0.333568E-06
   219   0.547121E+04   0.237721E+01   0.000000E+00   0.631209E+02   0.352942E-07  -0.737659E-04   0.351470E-06
   220   0.545076E+04   0.247175E+01   0.000000E+00   0.649781E+02   0.351218E-07  -0.731978E-04   0.369207E-06
   221   0.542963E+04   0.256902E+01   0.000000E+00   0.668230E+02   0.349507E-07  -0.726425E-04   0.386783E-06
   222   0.540783E+04   0.266903E+01   0.000000E+00   0.686549E+02   0.347810E-07  -0.720997E-04   0.404199E-06
   223   0.538537E+04   0.277177E+01   0.000000E+00   0.704724E+02   0.346127E-07  -0.715691E-04   0.421460E-06
   224   0.536227E+04   0.287725E+01   0.000000E+00   0.722746E+02   0.344457E-07  -0.710504E-04   0.438568E-06
   225   0.533853E+04   0.298547E+01   0.000000E+00   0.740604E+02   0.342800E-07  -0.705432E-04   0.455526E-06
   226   0.531416E+04   0.309644E+01   0.000000E+00   0.758288E+02   0.341156E-07  -0.700474E-04   0.472337E-06
