#           k/h    P           
   0.199304E+01   0.141316E+03
   0.203330E+01   0.137582E+03
   0.207437E+01   0.133911E+03
   0.211628E+01   0.130302E+03
   0.215903E+01   0.126757E+03
   0.220265E+01   0.123275E+03
   0.224714E+01   0.119856E+03
   0.229254E+01   0.116502E+03
   0.233885E+01   0.113213E+03
   0.238610E+01   0.109988E+03
   0.243430E+01   0.106828E+03
   0.248348E+01   0.103733E+03
   0.253365E+01   0.100703E+03
   0.258483E+01   0.977383E+02
   0.263705E+01   0.948378E+02
   0.269032E+01   0.920016E+02
   0.274466E+01   0.892295E+02
   0.280011E+01   0.865210E+02
   0.285668E+01   0.838759E+02
   0.291439E+01   0.812935E+02
   0.297326E+01   0.787733E+02
   0.303332E+01   0.763148E+02
   0.309460E+01   0.739173E+02
   0.315712E+01   0.715802E+02
   0.322090E+01   0.693027E+02
   0.328596E+01   0.670840E+02
   0.335234E+01   0.649233E+02
   0.342006E+01   0.628197E+02
   0.348916E+01   0.607725E+02
   0.355964E+01   0.587806E+02
   0.363155E+01   0.568431E+02
   0.370491E+01   0.549592E+02
   0.377976E+01   0.531278E+02
   0.385611E+01   0.513481E+02
   0.393401E+01   0.496191E+02
   0.401348E+01   0.479397E+02
   0.409456E+01   0.463091E+02
   0.417727E+01   0.447263E+02
   0.426166E+01   0.431904E+02
   0.434775E+01   0.417003E+02
   0.443558E+01   0.402553E+02
   0.452519E+01   0.388542E+02
   0.461660E+01   0.374961E+02
   0.470987E+01   0.361801E+02
   0.480501E+01   0.349052E+02
   0.490208E+01   0.336705E+02
   0.500111E+01   0.324749E+02
   0.510214E+01   0.313175E+02
   0.520521E+01   0.301971E+02
   0.531036E+01   0.291128E+02
   0.541763E+01   0.280634E+02
   0.552708E+01   0.270479E+02
   0.563873E+01   0.260653E+02
   0.575264E+01   0.251147E+02
   0.586885E+01   0.241952E+02
   0.598741E+01   0.233058E+02
   0.610836E+01   0.224456E+02
   0.623176E+01   0.216138E+02
   0.635765E+01   0.208097E+02
   0.648609E+01   0.200326E+02
   0.661711E+01   0.192820E+02
   0.675079E+01   0.185574E+02
   0.688716E+01   0.178583E+02
   0.702629E+01   0.171840E+02
   0.716823E+01   0.165340E+02
   0.731304E+01   0.159076E+02
   0.746077E+01   0.153043E+02
   0.761149E+01   0.147234E+02
   0.776525E+01   0.141643E+02
